customer_id,first_name,last_name,email,signup_date,country,state_province,city
1,Jamie,Souza,jamie.souza1@example.com,2024-01-06,US,WA,Austin
2,Jamie,Johnson,jamie.johnson2@example.com,2025-01-25,BR,SP,SF
3,Sam,Costa,sam.costa3@example.com,2024-05-01,US,PR,SF
4,Morgan,Brown,morgan.brown4@example.com,2022-07-02,CA,WA,Rio
5,Cameron,Silva,cameron.silva5@example.com,2025-07-09,US,SP,Vancouver
6,Riley,Miller,riley.miller6@example.com,2024-05-08,CA,NY,NYC
7,Alex,Costa,alex.costa7@example.com,2023-07-18,CA,ON,SF
8,Casey,Johnson,casey.johnson8@example.com,2024-11-09,CA,NY,Curitiba
9,Riley,Lee,riley.lee9@example.com,2023-07-13,BR,WA,NYC
10,Sam,Brown,sam.brown10@example.com,2023-12-08,US,WA,NYC
11,Alex,Silva,alex.silva11@example.com,2023-01-06,BR,BC,Austin
12,Taylor,Santos,taylor.santos12@example.com,2024-05-19,BR,ON,NYC
13,Cameron,Miller,cameron.miller13@example.com,2022-07-25,BR,WA,Austin
14,Casey,Oliveira,casey.oliveira14@example.com,2024-01-17,BR,PR,Seattle
15,Taylor,Souza,taylor.souza15@example.com,2024-04-09,US,BC,Sao Paulo
16,Riley,Costa,riley.costa16@example.com,2024-05-16,BR,BC,Seattle
17,Casey,Oliveira,casey.oliveira17@example.com,2022-12-26,US,ON,Austin
18,Jordan,Johnson,jordan.johnson18@example.com,2022-07-15,CA,SP,Sao Paulo
19,Taylor,Brown,taylor.brown19@example.com,2024-10-12,BR,RJ,NYC
20,Sam,Costa,sam.costa20@example.com,2024-09-12,BR,TX,Sao Paulo
21,Cameron,Costa,cameron.costa21@example.com,2023-05-26,CA,RJ,Curitiba
22,Riley,Johnson,riley.johnson22@example.com,2025-06-29,BR,NY,Curitiba
23,Riley,Santos,riley.santos23@example.com,2024-12-06,CA,SP,Austin
24,Casey,Souza,casey.souza24@example.com,2024-01-30,BR,TX,Curitiba
25,Jamie,Silva,jamie.silva25@example.com,2022-09-17,BR,WA,Austin
26,Taylor,Miller,taylor.miller26@example.com,2022-07-14,BR,CA,Vancouver
27,Casey,Souza,casey.souza27@example.com,2024-12-05,CA,ON,Seattle
28,Sam,Brown,sam.brown28@example.com,2022-05-18,US,NY,Rio
29,Jamie,Johnson,jamie.johnson29@example.com,2024-11-07,US,RJ,Curitiba
30,Avery,Silva,avery.silva30@example.com,2022-08-07,BR,SP,Seattle
31,Morgan,Brown,morgan.brown31@example.com,2023-10-23,CA,BC,Rio
32,Morgan,Williams,morgan.williams32@example.com,2024-11-17,US,WA,NYC
33,Taylor,Souza,taylor.souza33@example.com,2022-06-14,US,WA,SF
34,Jamie,Souza,jamie.souza34@example.com,2024-04-10,US,CA,Vancouver
35,Jamie,Johnson,jamie.johnson35@example.com,2024-03-22,CA,RJ,Seattle
36,Morgan,Miller,morgan.miller36@example.com,2022-05-10,BR,RJ,Seattle
37,Casey,Oliveira,casey.oliveira37@example.com,2024-06-28,US,NY,Sao Paulo
38,Taylor,Oliveira,taylor.oliveira38@example.com,2023-04-03,CA,CA,NYC
39,Sam,Oliveira,sam.oliveira39@example.com,2023-08-28,US,WA,Seattle
40,Jordan,Johnson,jordan.johnson40@example.com,2023-01-16,US,SP,Austin
41,Riley,Williams,riley.williams41@example.com,2024-02-27,US,RJ,Curitiba
42,Jamie,Souza,jamie.souza42@example.com,2022-07-11,US,NY,Seattle
43,Avery,Oliveira,avery.oliveira43@example.com,2022-11-01,CA,WA,Sao Paulo
44,Sam,Miller,sam.miller44@example.com,2023-06-07,US,SP,Toronto
45,Casey,Silva,casey.silva45@example.com,2023-03-09,BR,PR,Rio
46,Avery,Brown,avery.brown46@example.com,2023-11-23,US,CA,Curitiba
47,Sam,Santos,sam.santos47@example.com,2025-03-27,US,RJ,Curitiba
48,Morgan,Miller,morgan.miller48@example.com,2025-03-28,BR,NY,Austin
49,Jamie,Lee,jamie.lee49@example.com,2025-03-05,BR,WA,Sao Paulo
50,Jamie,Lee,jamie.lee50@example.com,2024-03-05,BR,CA,NYC
51,Alex,Lee,alex.lee51@example.com,2022-05-22,BR,BC,Toronto
52,Jordan,Santos,jordan.santos52@example.com,2024-03-21,CA,SP,Austin
53,Riley,Williams,riley.williams53@example.com,2023-10-14,US,CA,Rio
54,Cameron,Lee,cameron.lee54@example.com,2024-12-30,US,PR,Seattle
